lemma,past,present_phones,past_phones
crab,crabbed,K R AE B,K R AE B D
coddle,coddled,K AA D AH L,K AA D AH L D
blank,blanked,B L AE NG K,B L AE NG K T
fork,forked,F AO R K,F AO R K T
countersue,countersued,K AW N T ER S UW,K AW N T ER S UW D
submit,submitted,S AH B M IH T,S AH B M IH T IH D
preview,previewed,P R IY V Y UW,P R IY V Y UW D
leak,leaked,L IY K,L IY K T
overlap,overlapped,OW V ER L AE P,OW V ER L AE P T
overheat,overheated,OW V ER HH IY T,OW V ER HH IY T IH D
fade,faded,F EY D,F EY D AH D
beguile,beguiled,B IH G AY L,B IH G AY L D
whistle,whistled,W IH S AH L,W IH S AH L D
thrill,thrilled,TH R IH L,TH R IH L D
plough,ploughed,P L AW,P L AW D
hate,hated,HH EY T,HH EY T AH D
ensconce,ensconced,IH N S K AA N S,IH N S K AA N S T
recharge,recharged,R IY CH AA R JH,R IY CH AA R JH D
wobble,wobbled,W AA B AH L,W AA B AH L D
ensure,ensured,EH N SH UH R,EH N SH UH R D
backfire,backfired,B AE K F AY R,B AE K F AY ER D
bike,biked,B AY K,B AY K T
marvel,marvelled,M AA R V AH L,M AA R V EH L D
sterilize,sterilized,S T EH R AH L AY Z,S T EH R AH L AY Z D
sculpt,sculpted,S K AH L P T,S K AH L P T IH D
chicken,chickened,CH IH K AH N,CH IH K AH N D
convict,convicted,K AA N V IH K T,K AH N V IH K T AH D
bronze,bronzed,B R AA N Z,B R AA N Z D
typecast,typecast,T AY P K AE S T,T AY P K AE S T
divide,divided,D IH V AY D,D IH V AY D IH D
reroute,rerouted,R IY R UW T,R IY R UW T IH D
breast,breasted,B R EH S T,B R EH S T AH D
reuse,reused,R IY Y UW S,R IY UW Z D
corbel,corbelled,K AO R B AH L,K AO R B AH L D
outshine,outshone,AW CH AY N,AW T SH OW N
acclimate,acclimated,AE K L AH M EY T,AE K L AH M EY T IH D
associate,associated,AH S OW S IY AH T,AH S OW S IY EY T IH D
injure,injured,IH N JH ER,IH N JH ER D
recreate,recreated,R EH K R IY EY T,R EH K R IY EY T IH D
safeguard,safeguarded,S EY F G AA R D,S EY F G AA R D IH D
pout,pouted,P AW T,P AW T IH D
overtax,overtaxed,OW V ER T AE K S,OW V ER T AE K S T
bore,bored,B AO R,B AO R D
approach,approached,AH P R OW CH,AH P R OW CH T
hood,hooded,HH UH D,HH UH D IH D
supply,supplied,S AH P L AY,S AH P L AY D
zero,zeroed,Z IH R OW,Z IH R OW D
redouble,redoubled,R IY D AH B AH L,R IY D AH B AH L D
trek,trekked,T R EH K,T R EH K T
tune,tuned,T UW N,T UW N D
mince,minced,M IH N S,M IH N S T
mellow,mellowed,M EH L OW,M EH L OW D
brow,browed,B R AW,B R AW D
cuss,cussed,K AH S,K AH S T
hopscotch,hopscotched,HH AA P S K AA CH,HH AA P S K AA CH T
rack,racked,R AE K,R AE K T
say,said,S EY,S EH D
outsource,outsourced,AW T S AO R S,AW T S AO R S T
please,pleased,P L IY Z,P L IY Z D
splash,splashed,S P L AE SH,S P L AE SH T
robe,robed,R OW B,R OW B D
coop,cooped,K UW P,K UW P T
part,parted,P AA R T,P AA R T IH D
refinance,refinanced,R IY F AH N AE N S,R IY F AH N AE N S T
duplicate,duplicated,D UW P L AH K AH T,D UW P L IH K EY T IH D
pare,pared,P EH R,P EH R D
redd,redd,R EH D,R EH D
insure,insured,IH N SH UH R,IH N SH UH R D
coast,coasted,K OW S T,K OW S T IH D
promise,promised,P R AA M AH S,P R AA M AH S T
log,logged,L AO G,L AO G D
exhilarate,exhilarated,IH G Z IH L ER EY T,IH G Z IH L ER EY T IH D
enunciate,enunciated,IH N AH N S IY EY T,IH N AH N S IY EY T IH D
hitchhike,hitchhiked,HH IH CH HH AY K,HH IH CH HH AY K T
loom,loomed,L UW M,L UW M D
mint,minted,M IH N T,M IH N T IH D
fizzle,fizzled,F IH Z AH L,F IH Z AH L D
outlive,outlived,AW T L IH V,AW T L IH V D
procreate,procreated,P R OW K R IY EY T,P R OW K R IY EY T IH D
misquote,misquoted,M IH S K W OW T,M IH S K W OW T IH D
automate,automated,AO T AH M EY T,AO T AH M EY T IH D
lodge,lodged,L AA JH,L AA JH D
contour,contoured,K AA N T UH R,K AA N T UH R D
accelerate,accelerated,AE K S EH L ER EY T,AE K S EH L ER EY T IH D
shaft,shafted,SH AE F T,SH AE F T IH D
swallow,swallowed,S W AA L OW,S W AA L OW D
chest,chested,CH EH S T,CH EH S T AH D
interpolate,interpolated,IH T ER P AH L EY T,IH T ER P AH L EY T IH D
stock,stocked,S T AA K,S T AA K T
bare,bared,B EH R,B EH R D
pinch,pinched,P IH N CH,P IH N CH T
kneel,knelt,N IY L,N EH L T
wink,winked,W IH NG K,W IH NG K T
prearrange,prearranged,P R IY ER EY N JH,P R IY ER EY N JH D
sink,sank,S IH NG K,S AE NG K
jangle,jangled,JH AE NG G AH L,JH AE NG G AH L D
scrutinize,scrutinized,S K R UW T AH N AY Z,S K R UW T AH N AY Z D
upstage,upstaged,AH P S T EY JH,AH P S T EY JH D
affine,affined,AH F AY N,AH F AY N D
incite,incited,IH N S AY T,IH N S AY T IH D
gravitate,gravitated,G R AE V IH T EY T,G R AE V AH T EY T IH D
lean,leaned,L IY N,L IY N D
butcher,butchered,B UH CH ER,B UH CH ER D
faze,fazed,F EY Z,F EY Z D
slick,slicked,S L IH K,S L IH K T
disbar,disbarred,D IH S B AA R,D IH S B AA R D
retest,retested,R IY T EH S T,R IY T EH S T IH D
prefer,preferred,P R AH F ER,P R AH F ER D
cane,caned,K EY N,K EY N D
move,moved,M UW V,M UW V D
fritter,frittered,F R IH T ER,F R IH T ER D
recur,recurred,R IH K ER,R IY K ER D
duel,dueled,D UW AH L,D UW AH L D
ferment,fermented,F ER M EH N T,F ER M EH N T AH D
adjudge,adjudged,AH JH AH JH,AH JH AH JH D
assume,assumed,AH S UW M,AH S UW M D
feather,feathered,F EH DH ER,F EH DH ER D
marble,marbled,M AA R B AH L,M AA R B AH L D
reset,reset,R IY S EH T,R IY S EH T
pawn,pawned,P AO N,P AO N D
butter,buttered,B AH T ER,B AH T ER D
quash,quashed,K W AO SH,K W AO SH T
haul,hauled,HH AO L,HH AO L D
apply,applied,AH P L AY,AH P L AY D
sample,sampled,S AE M P AH L,S AE M P AH L D
lynch,lynched,L IH N CH,L IH N CH T
dismantle,dismantled,D IH S M AE N T AH L,D IH S M AE N T AH L D
decline,declined,D IH K L AY N,D IH K L AY N D
practice,practiced,P R AE K T AH S,P R AE K T AH S T
forge,forged,F AO R JH,F AO R JH D
parch,parched,P AA R CH,P AA R CH T
digress,digressed,D AY G R EH S,D AY G R EH S T
rotate,rotated,R OW T EY T,R OW T EY T IH D
obscure,obscured,AH B S K Y UH R,AH B S K Y UH R D
waffle,waffled,W AA F AH L,W AA F AH L D
emulate,emulated,EH M Y AH L EY T,EH M Y AH L EY T IH D
rumple,rumpled,R AH M P AH L,R AH M P AH L D
arouse,aroused,ER AW Z,ER AW Z D
ballyhoo,ballyhooed,B AE L IY HH UW,B AE L IY HH UW D
rehire,rehired,R IY HH AY R,R IY HH AY ER D
bequeath,bequeathed,B IH K W IY TH,B AH K W IY TH T
doe,did,D OW,D IH D
trail,trailed,T R EY L,T R EY L D
insulate,insulated,IH N S AH L EY T,IH N S AH L EY T AH D
culminate,culminated,K AH L M IH N EY T,K AH L M AH N EY T IH D
knee,kneed,N IY,N IY D
patrol,patrolled,P AH T R OW L,P AH T R OW L D
disgrace,disgraced,D IH S G R EY S,D IH S G R EY S T
angle,angled,AE NG G AH L,AE NG G AH L D
euchre,euchred,Y UW K ER,Y UW K ER D
pulse,pulsed,P AH L S,P AH L S T
brief,briefed,B R IY F,B R IY F T
dominate,dominated,D AA M AH N EY T,D AA M AH N EY T AH D
strike,struck,S T R AY K,S T R AH K
annualize,annualized,AE N Y UW W AH L AY Z,AE N Y UW W AH L AY Z D
defame,defamed,D IH F EY M,D IH F EY M D
dribble,dribbled,D R IH B AH L,D R IH B AH L D
transgress,transgressed,T R AE N Z G R EH S,T R AE N Z G R EH S T
mind,minded,M AY N D,M AY N D AH D
choke,choked,CH OW K,CH OW K T
state,stated,S T EY T,S T EY T IH D
wreak,wreaked,R IY K,R IY K T
endure,endured,EH N D Y UH R,EH N D Y UH R D
spruce,spruced,S P R UW S,S P R UW S T
dial,dialed,D AY AH L,D AY AH L D
amass,amassed,AH M AE S,AH M AE S T
fess,fessed,F EH S,F EH S T
twist,twisted,T W IH S T,T W IH S T IH D
pillar,pillared,P IH L ER,P IH L ER D
bandage,bandaged,B AE N D IH JH,B AE N D AH JH D
hook,hooked,HH UH K,HH UH K T
change,changed,CH EY N JH,CH EY N JH D
fillet,filleted,F AH L EY,F IH L AH T IH D
premiere,premiered,P R EH M IH R,P R EH M IH R D
compel,compelled,K AH M P EH L,K AH M P EH L D
beatify,beatified,B IY AE T AH F AY,B IY AE T AH F AY D
observe,observed,AH B Z ER V,AH B Z ER V D
skid,skidded,S K IH D,S K IH D IH D
mine,mined,M AY N,M AY N D
snee,sneed,S N IY,S N IY D
inch,inched,IH N CH,IH N CH T
wood,wooded,W UH D,W UH D IH D
wither,withered,W IH DH ER,W IH DH ER D
nature,natured,N EY CH ER,N EY CH ER D
resend,resent,R IH Z EH N D,R IH Z EH N T
allot,allotted,AH L AA T,AH L AA T IH D
couple,coupled,K AH P AH L,K AH P AH L D
lavish,lavished,L AE V IH SH,L AE V IH SH T
inquire,inquired,IH N K W AY R,IH N K W AY ER D
refine,refined,R AH F AY N,R AH F AY N D
thrust,thrust,TH R AH S T,TH R AH S T
imbue,imbued,IH M B Y UW,IH M B Y UW D
falsify,falsified,F AO L S AH F AY,F AO L S AH F AY D
rail,railed,R EY L,R EY L D
malnourish,malnourished,M AE L N ER IH SH,M AE L N ER IH SH T
reread,reread,R IY R IY D,R IY R IY D
nickname,nicknamed,N IH K N EY M,N IH K N EY M D
match,matched,M AE CH,M AE CH T
crowd,crowded,K R AW D,K R AW D AH D
titillate,titillated,T IH T AH L EY T,T IH T AH L EY T IH D
outrage,outraged,AW T R EY JH,AW T R EY JH D
fuck,fucked,F AH K,F AH K T
flex,flexed,F L EH K S,F L EH K S T
arm,armed,AA R M,AA R M D
spotlight,spotlighted,S P AA T L AY T,S P AA T L AY T IH D
overproduce,overproduced,OW V ER P R AH D UW S,OW V ER P R AH D UW S T
bead,beaded,B IY D,B IY D IH D
overvalue,overvalued,OW V ER V AE L Y UW,OW V ER V AE L Y UW D
dissipate,dissipated,D IH S AH P EY T,D IH S AH P EY T IH D
pat,patted,P AE T,P AE T IH D
chafe,chafed,CH EY F,CH EY F T
thread,threaded,TH R EH D,TH R EH D IH D
stave,staved,S T EY V,S T EY V D
growl,growled,G R AW L,G R AW L D
improvise,improvised,IH M P R AH V AY Z,IH M P R AH V AY Z D
hoot,hooted,HH UW T,HH UW T IH D
achieve,achieved,AH CH IY V,AH CH IY V D
upset,upset,AH P S EH T,AH P S EH T
quiz,quizzed,K W IH Z,K W IH Z D
thump,thumped,TH AH M P,TH AH M P T
retake,retook,R IY T EY K,R IY T UH K
hypothesize,hypothesized,HH AY P AA TH AH S AY Z,HH AY P AA TH AH S AY Z D
refer,referred,R AH F ER,R AH F ER D
shame,shamed,SH EY M,SH EY M D
ossify,ossified,AA S AH F AY,AA S AH F AY D
ashame,ashamed,AH SH EY M,AH SH EY M D
stream,streamed,S T R IY M,S T R IY M D
sub,subbed,S AH B,S AH B D
misprint,misprinted,M IH S P R IH N T,M IH S P R IH N T AH D
fund,funded,F AH N D,F AH N D AH D
park,parked,P AA R K,P AA R K T
scuttle,scuttled,S K AH T AH L,S K AH T AH L D
summon,summoned,S AH M AH N,S AH M AH N D
postmark,postmarked,P OW S T M AA R K,P OW S T M AA R K T
vie,vied,V AY,V AY D
wipe,wiped,W AY P,W AY P T
outscore,outscored,AW T S K AO R,AW T S K AO R D
bat,batted,B AE T,B AE T IH D
scourge,scourged,S K ER JH,S K ER JH D
vary,varied,V EH R IY,V EH R IY D
strip,stripped,S T R IH P,S T R IH P T
plagiarize,plagiarized,P L EY JH ER AY Z,P L EY JH ER AY Z D
jaundice,jaundiced,JH AO N D AH S,JH AO N D IH S T
bury,buried,B EH R IY,B EH R IY D
desire,desired,D IH Z AY ER,D IH Z AY ER D
sip,sipped,S IH P,S IH P T
chair,chaired,CH EH R,CH EH R D
coole,cooled,K UW L,K UW L D
ease,eased,IY Z,IY Z D
obsess,obsessed,AH B S EH S,AH B S EH S T
collar,collared,K AA L ER,K AA L ER D
crunch,crunched,K R AH N CH,K R AH N CH T
value,valued,V AE L Y UW,V AE L Y UW D
suture,sutured,S UW CH ER,S UW CH ER D
tread,trod,T R EH D,T R AA D
buzz,buzzed,B AH Z,B AH Z D
propel,propelled,P R AH P EH L,P R AH P EH L D
ricochet,ricocheted,R IH K AH SH EY,R IH K AH SH EY D
time,timed,T AY M,T AY M D
relate,related,R IH L EY T,R IH L EY T IH D
ant,anted,AE N T,AE N T IH D
railroad,railroaded,R EY L R OW D,R EY L R OW D IH D
blend,blended,B L EH N D,B L EH N D IH D
lurch,lurched,L ER CH,L ER CH T
emulsify,emulsified,IH M AH L S AH F AY,IH M AH L S AH F AY D
spring,sprang,S P R IH NG,S P R AE NG
singe,singed,S IH N JH,S IH N JH D
bowe,bowed,B OW,B AW D
brainwash,brainwashed,B R EY N W AA SH,B R EY N W AA SH T
gash,gashed,G AE SH,G AE SH T
email,emailed,IY M EY L,IY M EY L D
roast,roasted,R OW S T,R OW S T AH D
hem,hemmed,HH EH M,HH EH M D
bridle,bridled,B R AY D AH L,B R AY D AH L D
ordain,ordained,AO R D EY N,AO R D EY N D
stretch,stretched,S T R EH CH,S T R EH CH T
overprice,overpriced,OW V ER P R AY S,OW V ER P R AY S T
outpace,outpaced,AW T P EY S,AW T P EY S T
swirl,swirled,S W ER L,S W ER L D
retrace,retraced,R IY T R EY S,R IY T R EY S T
siphon,siphoned,S AY F AH N,S AY F AH N D
downgrade,downgraded,D AW N G R EY D,D AW N G R EY D AH D
sparkle,sparkled,S P AA R K AH L,S P AA R K AH L D
peel,peeled,P IY L,P IY L D
ward,warded,W AO R D,W AO R D IH D
inlay,inlaid,IH N L EY,IH N L EY D
unify,unified,Y UW N AH F AY,Y UW N AH F AY D
spout,spouted,S P AW T,S P AW T IH D
ram,rammed,R AE M,R AE M D
honeymoon,honeymooned,HH AH N IY M UW N,HH AH N IY M UW N D
repurchase,repurchased,R IY P ER CH AH S,R IY P ER CH AH S T
normalize,normalized,N AO R M AH L AY Z,N AO R M AH L AY Z D
signal,signalled,S IH G N AH L,S IH G N AH L D
impoverish,impoverished,IH M P AA V R IH SH,IH M P AA V R IH SH T
allege,alleged,AH L EH JH,AH L EH JH D
twine,twined,T W AY N,T W AY N D
chain,chained,CH EY N,CH EY N D
behave,behaved,B IH HH EY V,B IH HH EY V D
slay,slew,S L EY,S L UW
impress,impressed,IH M P R EH S,IH M P R EH S T
cut,cut,K AH T,K AH T
upholster,upholstered,AH P OW L S T ER,AH P OW L S T ER D
plop,plopped,P L AA P,P L AA P T
outrun,outran,AW T R AH N,AW T R AE N
engage,engaged,EH N G EY JH,EH N G EY JH D
amputate,amputated,AE M P Y AH T EY T,AE M P Y AH T EY T IH D
rut,rutted,R AH T,R AH T IH D
alphabetize,alphabetized,AE L F AH B AH T AY Z,AE L F AH B AH T AY Z D
skew,skewed,S K Y UW,S K Y UW D
fondle,fondled,F AO N D AH L,F AO N D AH L D
angulate,angulated,AE NG G Y UW L EY T,AE NG G Y UW L EY T IH D
heroize,heroized,HH IY R OW AY Z,HH IY R OW AY Z D
muddy,muddied,M AH D IY,M AH D IY D
displace,displaced,D IH S P L EY S,D IH S P L EY S T
spar,sparred,S P AA R,S P AA R D
urge,urged,ER JH,ER JH D
hunker,hunkered,HH AH NG K ER,HH AH NG K ER D
catalog,cataloged,K AE T AH L AO G,K AE T AH L AO G D
chop,chopped,CH AA P,CH AA P T
oblige,obliged,AH B L AY JH,AH B L AY JH D
broker,brokered,B R OW K ER,B R OW K ER D
inundate,inundated,IH N AH N D EY T,IH N AH N D EY T IH D
hydrate,hydrated,HH AY D R EY T,HH AY D R EY T AH D
juggle,juggled,JH AH G AH L,JH AH G AH L D
tan,tanned,T AE N,T AE N D
dart,darted,D AA R T,D AA R T IH D
mow,mowed,M OW,M OW D
shoot,shot,SH UW T,SH AA T
consume,consumed,K AH N S UW M,K AH N S UW M D
weary,wearied,W IH R IY,W IH R IY D
flesh,fleshed,F L EH SH,F L EH SH T
burden,burdened,B ER D AH N,B ER D AH N D
impute,imputed,IH M P Y UW T,IH M P Y UW T IH D
bubble,bubbled,B AH B AH L,B AH B AH L D
fee,feed,F IY,F IY D
underprice,underpriced,AH N D ER P R AY S,AH N D ER P R AY S T
garnish,garnished,G AA R N IH SH,G AA R N IH SH T
section,sectioned,S EH K SH AH N,S EH K SH AH N D
net,netted,N EH T,N EH T IH D
tweak,tweaked,T W IY K,T W IY K T
wallow,wallowed,W AA L OW,W AA L OW D
bungle,bungled,B AH NG G AH L,B AH NG G AH L D
fetter,fettered,F EH T ER,F EH T ER D
torpedo,torpedoed,T AO R P IY D OW,T AO R P IY D OW D
give,gave,G IH V,G EY V
abut,abutted,AH B AH T,AH B AH T IH D
outclass,outclassed,AW T K L AE S,AW T K L AE S T
chuck,chucked,CH AH K,CH AH K T
rouse,roused,R AW S,R AW Z D
yell,yelled,Y EH L,Y EH L D
surmise,surmised,S ER M AY Z,S ER M AY Z D
pledge,pledged,P L EH JH,P L EH JH D
predicate,predicated,P R EH D AH K EY T,P R EH D AH K EY T IH D
bloody,bloodied,B L AH D IY,B L AH D IY D
calcify,calcified,K AE L S AH F AY,K AE L S AH F AY D
premier,premiered,P R EH M IH R,P R EH M IH R D
entitle,entitled,EH N T AY T AH L,EH N T AY T AH L D
stoop,stooped,S T UW P,S T UW P T
lay,laid,L EY,L EY D
ridge,ridged,R IH JH,R IH JH D
pale,paled,P EY L,P EY L D
immortalize,immortalized,IH M AO R T AH L AY Z,IH M AO R T AH L AY Z D
sprint,sprinted,S P R IH N T,S P R IH N T IH D
master,mastered,M AE S T ER,M AE S T ER D
hijack,hijacked,HH AY JH AE K,HH AY JH AE K T
cogenerate,cogenerated,K OW JH EH N ER EY T,K OW JH EH N ER EY T IH D
distil,distilled,D IH S T IH L,D IH S T IH L D
belch,belched,B EH L CH,B EH L CH T
cooperate,cooperated,K OW AA P ER EY T,K OW AA P ER EY T AH D
refute,refuted,R IH F Y UW T,R IH F Y UW T IH D
eliminate,eliminated,IH L IH M AH N EY T,IH L IH M AH N EY T IH D
distress,distressed,D IH S T R EH S,D IH S T R EH S T
neutralize,neutralized,N UW T R AH L AY Z,N UW T R AH L AY Z D
dissolve,dissolved,D IH Z AA L V,D IH Z AA L V D
hedge,hedged,HH EH JH,HH EH JH D
last,lasted,L AE S T,L AE S T AH D
crop,cropped,K R AA P,K R AA P T
